 [2009-34-25 06:34,   556]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación SQL: ejemplo.sql * * * * *
 [2009-34-25 06:34,   557]INFO  josejamilena.pfc.servidor.tareas.CargarTareas [main] - Programación PLSQL: ejemplo_1.sql * * * * *
 [2009-35-25 06:35, 43901]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f668400defa1a00000122184524432901b66e]] - 0
 [2009-35-25 06:35, 44014]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447c9f0cd635ad]::executor[ec6558eb012f668400defa1a00000122184524432901b66e]] - 0
 [2009-35-25 06:35, 46780]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f668401ac04e80000012218452445771ada2e]] - 0
 [2009-35-25 06:35, 47107]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f668401ac04e80000012218452445771ada2e]] - 0
 [2009-35-25 06:35, 47279]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f668401ac04e80000012218452445771ada2e]] - 1
 [2009-35-25 06:35, 47462]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f668401ac04e80000012218452445771ada2e]] - 1
 [2009-35-25 06:35, 47464]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f668401ac04e80000012218452445771ada2e]] - Script: ejemplo_1.sql lanzado: Thu Jun 25 18:35:04 CEST 2009
 [2009-35-25 06:35, 47464]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb012f6684010b9d040000012218447e6a43c4b6a9]::executor[ec6558eb012f668401ac04e80000012218452445771ada2e]] - 158.0
